Signal,Block.thisRepN,Block.thisTrialN,Block.thisN,Block.thisIndex,practiceGoTrials.thisRepN,practiceGoTrials.thisTrialN,practiceGoTrials.thisN,practiceGoTrials.thisIndex,practiceMixedTrials.thisRepN,practiceMixedTrials.thisTrialN,practiceMixedTrials.thisN,practiceMixedTrials.thisIndex,testBlocks.thisRepN,testBlocks.thisTrialN,testBlocks.thisN,testBlocks.thisIndex,block,trialType,trial,signal,response,ssd,rt,Count down,Trial by trial feedback,Step size (s),Lowest SSD (s),Highest SSD (s),Total bar height (in cm),Number of Test Blocks,Spaceship,Full Screen,
0,0,0,0,0,0,0,0,2,,,,,,,,,1,practiceGoTrials,1,0,1,NaN,0.8157942070029094,True,True,0.025,0.05,0.775,15,3,False,True,
0,0,0,0,0,0,1,1,1,,,,,,,,,1,practiceGoTrials,2,0,1,NaN,0.8338698349980405,True,True,0.025,0.05,0.775,15,3,False,True,
0,0,0,0,0,0,2,2,3,,,,,,,,,1,practiceGoTrials,3,0,1,NaN,0.8510942380016786,True,True,0.025,0.05,0.775,15,3,False,True,
0,0,0,0,0,0,3,3,4,,,,,,,,,1,practiceGoTrials,4,0,1,NaN,0.9409021050014417,True,True,0.025,0.05,0.775,15,3,False,True,
0,0,0,0,0,0,4,4,0,,,,,,,,,1,practiceGoTrials,5,0,1,NaN,0.7484396750005544,True,True,0.025,0.05,0.775,15,3,False,True,
1,1,0,1,0,,,,,0,0,0,1,,,,,2,practiceMixedTrials,1,1,0,0.5,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,1,0,1,0,,,,,0,1,1,7,,,,,2,practiceMixedTrials,2,0,1,NaN,0.786622976003855,True,True,0.025,0.05,0.775,15,3,False,True,
1,1,0,1,0,,,,,0,2,2,0,,,,,2,practiceMixedTrials,3,1,1,0.525,0.7726822719996562,True,True,0.025,0.05,0.775,15,3,False,True,
0,1,0,1,0,,,,,0,3,3,5,,,,,2,practiceMixedTrials,4,0,1,NaN,0.9364755419956055,True,True,0.025,0.05,0.775,15,3,False,True,
1,1,0,1,0,,,,,0,4,4,2,,,,,2,practiceMixedTrials,5,1,0,0.5,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,1,0,1,0,,,,,0,5,5,3,,,,,2,practiceMixedTrials,6,1,0,0.525,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,1,0,1,0,,,,,0,6,6,8,,,,,2,practiceMixedTrials,7,0,1,NaN,0.8212974039997789,True,True,0.025,0.05,0.775,15,3,False,True,
0,1,0,1,0,,,,,0,7,7,9,,,,,2,practiceMixedTrials,8,0,1,NaN,0.8843312180033536,True,True,0.025,0.05,0.775,15,3,False,True,
0,1,0,1,0,,,,,0,8,8,6,,,,,2,practiceMixedTrials,9,0,1,NaN,0.8235668229972362,True,True,0.025,0.05,0.775,15,3,False,True,
1,1,0,1,0,,,,,0,9,9,4,,,,,2,practiceMixedTrials,10,1,0,0.55,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,0,0,38,3,testBlocks,1,1,0,0.5,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,1,1,17,3,testBlocks,2,1,0,0.525,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,2,2,9,3,testBlocks,3,1,0,0.55,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,3,3,41,3,testBlocks,4,1,0,0.5750000000000001,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,2,0,2,0,,,,,,,,,0,4,4,54,3,testBlocks,5,0,1,NaN,0.9538266630042926,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,5,5,32,3,testBlocks,6,1,1,0.6000000000000001,0.8169551499959198,True,True,0.025,0.05,0.775,15,3,False,True,
0,2,0,2,0,,,,,,,,,0,6,6,61,3,testBlocks,7,0,1,NaN,0.8806206869994639,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,7,7,27,3,testBlocks,8,1,1,0.5750000000000001,0.8048936339982902,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,8,8,21,3,testBlocks,9,1,0,0.55,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,9,9,31,3,testBlocks,10,1,0,0.5750000000000001,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,10,10,45,3,testBlocks,11,1,0,0.6000000000000001,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,11,11,8,3,testBlocks,12,1,1,0.6250000000000001,0.8744820879946928,True,True,0.025,0.05,0.775,15,3,False,True,
0,2,0,2,0,,,,,,,,,0,12,12,58,3,testBlocks,13,0,1,NaN,0.8623885190027067,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,13,13,16,3,testBlocks,14,1,0,0.6000000000000001,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,2,0,2,0,,,,,,,,,0,14,14,62,3,testBlocks,15,0,1,NaN,0.8985611679963768,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,15,15,20,3,testBlocks,16,1,0,0.6250000000000001,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,16,16,23,3,testBlocks,17,1,0,0.6500000000000001,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,2,0,2,0,,,,,,,,,0,17,17,51,3,testBlocks,18,0,1,NaN,0.9731289780029329,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,18,18,26,3,testBlocks,19,1,0,0.6750000000000002,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,19,19,18,3,testBlocks,20,1,1,0.7000000000000002,0.8858111350054969,True,True,0.025,0.05,0.775,15,3,False,True,
0,2,0,2,0,,,,,,,,,0,20,20,49,3,testBlocks,21,0,1,NaN,0.8940394000019296,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,21,21,42,3,testBlocks,22,1,0,0.6750000000000002,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,2,0,2,0,,,,,,,,,0,22,22,57,3,testBlocks,23,0,1,NaN,0.9784992939967196,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,23,23,6,3,testBlocks,24,1,1,0.7000000000000002,0.8976374519988894,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,24,24,7,3,testBlocks,25,1,0,0.6750000000000002,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,25,25,35,3,testBlocks,26,1,0,0.7000000000000002,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,26,26,11,3,testBlocks,27,1,0,0.7250000000000002,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,27,27,29,3,testBlocks,28,1,1,0.7500000000000002,0.9792334459998528,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,28,28,0,3,testBlocks,29,1,0,0.7250000000000002,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,29,29,10,3,testBlocks,30,1,0,0.7500000000000002,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,30,30,15,3,testBlocks,31,1,0,0.7750000000000002,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,2,0,2,0,,,,,,,,,0,31,31,56,3,testBlocks,32,0,0,NaN,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,32,32,1,3,testBlocks,33,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,2,0,2,0,,,,,,,,,0,33,33,53,3,testBlocks,34,0,0,NaN,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,34,34,40,3,testBlocks,35,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,35,35,46,3,testBlocks,36,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,36,36,19,3,testBlocks,37,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,37,37,3,3,testBlocks,38,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,38,38,2,3,testBlocks,39,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,39,39,33,3,testBlocks,40,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,40,40,22,3,testBlocks,41,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,2,0,2,0,,,,,,,,,0,41,41,50,3,testBlocks,42,0,0,NaN,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,42,42,14,3,testBlocks,43,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,2,0,2,0,,,,,,,,,0,43,43,55,3,testBlocks,44,0,0,NaN,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,44,44,44,3,testBlocks,45,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,45,45,34,3,testBlocks,46,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,46,46,28,3,testBlocks,47,1,1,0.775,0.9178389750013594,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,47,47,25,3,testBlocks,48,1,0,0.75,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,48,48,37,3,testBlocks,49,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,49,49,36,3,testBlocks,50,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,50,50,12,3,testBlocks,51,1,1,0.775,0.9749448310030857,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,51,51,43,3,testBlocks,52,1,0,0.75,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,2,0,2,0,,,,,,,,,0,52,52,52,3,testBlocks,53,0,0,NaN,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,53,53,5,3,testBlocks,54,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,54,54,13,3,testBlocks,55,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,55,55,30,3,testBlocks,56,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,2,0,2,0,,,,,,,,,0,56,56,59,3,testBlocks,57,0,0,NaN,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,2,0,2,0,,,,,,,,,0,57,57,48,3,testBlocks,58,0,0,NaN,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,58,58,47,3,testBlocks,59,1,1,0.775,0.8448427499970421,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,59,59,39,3,testBlocks,60,1,1,0.75,0.8423933669982944,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,60,60,4,3,testBlocks,61,1,1,0.725,0.8764997029938968,True,True,0.025,0.05,0.775,15,3,False,True,
0,2,0,2,0,,,,,,,,,0,61,61,63,3,testBlocks,62,0,1,NaN,0.9520406299998285,True,True,0.025,0.05,0.775,15,3,False,True,
0,2,0,2,0,,,,,,,,,0,62,62,60,3,testBlocks,63,0,1,NaN,0.8238120940004592,True,True,0.025,0.05,0.775,15,3,False,True,
1,2,0,2,0,,,,,,,,,0,63,63,24,3,testBlocks,64,1,1,0.7,0.850535049001337,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,0,0,46,4,testBlocks,1,1,1,0.6749999999999999,0.8771166809965507,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,1,1,18,4,testBlocks,2,1,1,0.6499999999999999,0.8699968740038457,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,2,2,31,4,testBlocks,3,1,0,0.6249999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,3,3,4,4,testBlocks,4,1,0,0.6499999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,4,4,10,4,testBlocks,5,1,0,0.6749999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,5,5,36,4,testBlocks,6,1,1,0.7,0.8039756819998729,True,True,0.025,0.05,0.775,15,3,False,True,
0,3,0,3,0,,,,,,,,,0,6,6,49,4,testBlocks,7,0,1,NaN,0.9419761180033674,True,True,0.025,0.05,0.775,15,3,False,True,
0,3,0,3,0,,,,,,,,,0,7,7,59,4,testBlocks,8,0,1,NaN,0.8943972370034317,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,8,8,26,4,testBlocks,9,1,1,0.6749999999999999,0.9007096399946022,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,9,9,27,4,testBlocks,10,1,0,0.6499999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,10,10,32,4,testBlocks,11,1,1,0.6749999999999999,0.8779232090018922,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,11,11,38,4,testBlocks,12,1,1,0.6499999999999999,0.9392994779991568,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,12,12,22,4,testBlocks,13,1,0,0.6249999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,13,13,15,4,testBlocks,14,1,0,0.6499999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,3,0,3,0,,,,,,,,,0,14,14,63,4,testBlocks,15,0,1,NaN,0.9031550419967971,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,15,15,7,4,testBlocks,16,1,0,0.6749999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,16,16,14,4,testBlocks,17,1,1,0.7,0.9319795960036572,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,17,17,28,4,testBlocks,18,1,0,0.6749999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,3,0,3,0,,,,,,,,,0,18,18,55,4,testBlocks,19,0,1,NaN,0.985554785002023,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,19,19,9,4,testBlocks,20,1,1,0.7,0.8602260760017089,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,20,20,23,4,testBlocks,21,1,1,0.6749999999999999,0.8583966340011102,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,21,21,24,4,testBlocks,22,1,0,0.6499999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,22,22,34,4,testBlocks,23,1,0,0.6749999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,23,23,8,4,testBlocks,24,1,0,0.7,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,24,24,17,4,testBlocks,25,1,1,0.725,0.8329117949979263,True,True,0.025,0.05,0.775,15,3,False,True,
0,3,0,3,0,,,,,,,,,0,25,25,52,4,testBlocks,26,0,1,NaN,0.8386213170015253,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,26,26,42,4,testBlocks,27,1,1,0.7,0.8375179450013093,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,27,27,2,4,testBlocks,28,1,1,0.6749999999999999,0.8027376460013329,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,28,28,11,4,testBlocks,29,1,1,0.6499999999999999,0.8497213119990192,True,True,0.025,0.05,0.775,15,3,False,True,
0,3,0,3,0,,,,,,,,,0,29,29,54,4,testBlocks,30,0,1,NaN,0.9234307629958494,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,30,30,43,4,testBlocks,31,1,1,0.6249999999999999,0.8165928529997473,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,31,31,40,4,testBlocks,32,1,0,0.5999999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,32,32,35,4,testBlocks,33,1,0,0.6249999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,33,33,45,4,testBlocks,34,1,0,0.6499999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,3,0,3,0,,,,,,,,,0,34,34,51,4,testBlocks,35,0,0,NaN,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,35,35,3,4,testBlocks,36,1,0,0.6749999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,36,36,19,4,testBlocks,37,1,0,0.7,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,3,0,3,0,,,,,,,,,0,37,37,58,4,testBlocks,38,0,1,NaN,0.9549870629998622,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,38,38,1,4,testBlocks,39,1,1,0.725,0.8476540499978,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,39,39,5,4,testBlocks,40,1,1,0.7,0.8622791520028841,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,40,40,12,4,testBlocks,41,1,1,0.6749999999999999,0.9059517900022911,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,41,41,13,4,testBlocks,42,1,0,0.6499999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,42,42,33,4,testBlocks,43,1,0,0.6749999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,3,0,3,0,,,,,,,,,0,43,43,60,4,testBlocks,44,0,1,NaN,0.91072131999681,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,44,44,30,4,testBlocks,45,1,1,0.7,0.968238035995455,True,True,0.025,0.05,0.775,15,3,False,True,
0,3,0,3,0,,,,,,,,,0,45,45,62,4,testBlocks,46,0,0,NaN,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,46,46,39,4,testBlocks,47,1,1,0.6749999999999999,0.8875868749964866,True,True,0.025,0.05,0.775,15,3,False,True,
0,3,0,3,0,,,,,,,,,0,47,47,53,4,testBlocks,48,0,0,NaN,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,48,48,16,4,testBlocks,49,1,1,0.6499999999999999,0.8246567729947856,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,49,49,41,4,testBlocks,50,1,0,0.6249999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,50,50,37,4,testBlocks,51,1,0,0.6499999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,51,51,44,4,testBlocks,52,1,1,0.6749999999999999,0.8981505780029693,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,52,52,6,4,testBlocks,53,1,0,0.6499999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,3,0,3,0,,,,,,,,,0,53,53,50,4,testBlocks,54,0,0,NaN,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,54,54,25,4,testBlocks,55,1,0,0.6749999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,3,0,3,0,,,,,,,,,0,55,55,56,4,testBlocks,56,0,0,NaN,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,3,0,3,0,,,,,,,,,0,56,56,61,4,testBlocks,57,0,1,NaN,1.000287982998998,True,True,0.025,0.05,0.775,15,3,False,True,
0,3,0,3,0,,,,,,,,,0,57,57,48,4,testBlocks,58,0,1,NaN,0.9267791910024243,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,58,58,0,4,testBlocks,59,1,1,0.7,0.8185360339994077,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,59,59,29,4,testBlocks,60,1,1,0.6749999999999999,0.9591756850059028,True,True,0.025,0.05,0.775,15,3,False,True,
0,3,0,3,0,,,,,,,,,0,60,60,57,4,testBlocks,61,0,1,NaN,0.8776252519965055,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,61,61,21,4,testBlocks,62,1,0,0.6499999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,62,62,47,4,testBlocks,63,1,0,0.6749999999999999,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,3,0,3,0,,,,,,,,,0,63,63,20,4,testBlocks,64,1,0,0.7,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
0,4,0,4,0,,,,,,,,,0,0,0,58,5,testBlocks,1,0,0,NaN,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,4,0,4,0,,,,,,,,,0,1,1,44,5,testBlocks,2,1,0,0.725,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,4,0,4,0,,,,,,,,,0,2,2,23,5,testBlocks,3,1,0,0.75,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,4,0,4,0,,,,,,,,,0,3,3,16,5,testBlocks,4,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,4,0,4,0,,,,,,,,,0,4,4,24,5,testBlocks,5,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
1,4,0,4,0,,,,,,,,,0,5,5,21,5,testBlocks,6,1,0,0.775,NaN,True,True,0.025,0.05,0.775,15,3,False,True,
